"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\ryder\source\repos\Graphics\Graphics\Camera.cs", "C#", 90, 0, 0, 0, 0, 23, 113
"c:\Users\ryder\source\repos\Graphics\Graphics\Color.cs", "C#", 40, 0, 0, 0, 0, 9, 49
"c:\Users\ryder\source\repos\Graphics\Graphics\DirectionalLight.cs", "C#", 56, 0, 0, 0, 0, 11, 67
"c:\Users\ryder\source\repos\Graphics\Graphics\FrameBuffer.cs", "C#", 27, 0, 0, 0, 0, 5, 32
"c:\Users\ryder\source\repos\Graphics\Graphics\Graphics.csproj", "XML", 0, 7, 0, 0, 0, 3, 10
"c:\Users\ryder\source\repos\Graphics\Graphics\LightingCalculator.cs", "C#", 57, 0, 0, 0, 0, 12, 69
"c:\Users\ryder\source\repos\Graphics\Graphics\Matrix4x4.cs", "C#", 161, 0, 0, 0, 0, 30, 191
"c:\Users\ryder\source\repos\Graphics\Graphics\Mesh.cs", "C#", 38, 0, 0, 0, 0, 7, 45
"c:\Users\ryder\source\repos\Graphics\Graphics\MyShaders.cs", "C#", 21, 0, 0, 0, 0, 3, 24
"c:\Users\ryder\source\repos\Graphics\Graphics\ObjLoader.cs", "C#", 79, 0, 0, 0, 0, 13, 92
"c:\Users\ryder\source\repos\Graphics\Graphics\PrimitiveGenerator.cs", "C#", 165, 0, 0, 0, 0, 41, 206
"c:\Users\ryder\source\repos\Graphics\Graphics\Program.cs", "C#", 64, 0, 0, 0, 0, 11, 75
"c:\Users\ryder\source\repos\Graphics\Graphics\Quaternion.cs", "C#", 40, 0, 0, 0, 0, 7, 47
"c:\Users\ryder\source\repos\Graphics\Graphics\Rasterizer.cs", "C#", 303, 0, 0, 0, 0, 64, 367
"c:\Users\ryder\source\repos\Graphics\Graphics\Scene.cs", "C#", 24, 0, 0, 0, 0, 5, 29
"c:\Users\ryder\source\repos\Graphics\Graphics\ShaderStructs.cs", "C#", 21, 0, 0, 0, 0, 2, 23
"c:\Users\ryder\source\repos\Graphics\Graphics\ShadowMap.cs", "C#", 22, 0, 0, 0, 0, 4, 26
"c:\Users\ryder\source\repos\Graphics\Graphics\Texture.cs", "C#", 45, 0, 0, 0, 0, 5, 50
"c:\Users\ryder\source\repos\Graphics\Graphics\Triangle.cs", "C#", 24, 0, 0, 0, 0, 2, 26
"c:\Users\ryder\source\repos\Graphics\Graphics\Vector2.cs", "C#", 47, 0, 0, 0, 0, 15, 62
"c:\Users\ryder\source\repos\Graphics\Graphics\Vector3.cs", "C#", 56, 0, 0, 0, 0, 16, 72
"c:\Users\ryder\source\repos\Graphics\Graphics\Vector4.cs", "C#", 77, 0, 0, 0, 0, 17, 94
"c:\Users\ryder\source\repos\Graphics\Graphics\Vertex.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"c:\Users\ryder\source\repos\Graphics\Graphics\VertexCalculator.cs", "C#", 29, 0, 0, 0, 0, 2, 31
"c:\Users\ryder\source\repos\Graphics\Graphics\Window.cs", "C#", 86, 0, 0, 0, 0, 21, 107
"c:\Users\ryder\source\repos\Graphics\Graphics\bin\Debug\net8.0-windows\Graphics.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\Users\ryder\source\repos\Graphics\Graphics\bin\Debug\net8.0-windows\Graphics.runtimeconfig.json", "JSON", 0, 0, 19, 0, 0, 0, 19
"c:\Users\ryder\source\repos\Graphics\Graphics\bin\Debug\net9.0\Graphics.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\Users\ryder\source\repos\Graphics\Graphics\bin\Debug\net9.0\Graphics.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Debug\net8.0-windows\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Debug\net8.0-windows\Graphics.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 9, 5, 25
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Debug\net8.0-windows\Graphics.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 22, 0, 1, 23
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Debug\net9.0\Graphics.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Debug\net9.0\Graphics.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Debug\net9.0\Graphics.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Graphics.csproj.nuget.dgspec.json", "JSON", 0, 0, 76, 0, 0, 0, 76
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Graphics.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\Graphics.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\ryder\source\repos\Graphics\Graphics\obj\project.assets.json", "JSON", 0, 0, 82, 0, 0, 0, 82
"Total", "-", 1623, 25, 235, 37, 21, 345, 2286