"filename", "language", "XML", "C#", "comment", "blank", "total"
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\Camera.cs", "C#", 0, 6, 0, -1, 5
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\DirectionalLight.cs", "C#", 0, -10, 1, 0, -9
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\ObjLoader.cs", "C#", 0, -1, 0, 0, -1
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Components\Primitives.cs", "C#", 0, -1, 0, 0, -1
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\FrameBuffer.cs", "C#", 0, -10, 0, 0, -10
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\Renderer.cs", "C#", 0, 67, 12, 8, 87
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Core\Window.cs", "C#", 0, 23, 0, 1, 24
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\DefaultShaders.cs", "C#", 0, 0, 0, 1, 1
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\LightingCalculator.cs", "C#", 0, -2, 3, -1, 0
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Defaults\VertexCalculator.cs", "C#", 0, -1, 0, 0, -1
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Matrix4x4.cs", "C#", 0, -19, 0, -11, -30
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Vector2.cs", "C#", 0, -4, 0, -2, -6
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Math\Vector3.cs", "C#", 0, -4, 0, -2, -6
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Color.cs", "C#", 0, -1, 0, 0, -1
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Texture.cs", "C#", 0, 13, 1, 3, 17
"c:\Users\ryder\source\repos\Graphics\Graphics\Engine\Objects\Vertex.cs", "C#", 0, -1, 0, -1, -2
"c:\Users\ryder\source\repos\Graphics\Graphics\Graphics.csproj", "XML", 1, 0, 0, 0, 1
"c:\Users\ryder\source\repos\Graphics\Graphics\Program.cs", "C#", 0, -3, 0, 1, -2
"Total", "-", 1, 52, 17, -4, 66